cs_tt,cs_ft,cs_tl,cs_fl,d_tt,d_ft,d_tl,d_fl,wd_tt,wd_ft,wd_tl,wd_fl,w_tt,w_ft,w_tl,w_fl,ns_tt,ns_ft,ns_tl,ns_fl
12.0948,-22.7,-404.7216,4659.8,7.0872,-43,-450.5592,3571.5,12.1836,-32.2,-51.9096,185.7,9.1632,-25.7,-521.2104,6886,37.0116,110.1,-95.256,850.3
12.4224,-23.1,-400.4304,4631.4,7.1268,-38.3,-441.2964,3500.2,12.1476,-21.7,-50.3496,173.1,9.1476,-28.1,-526.2636,6873.2,37.8876,105.4,-86.6172,779
12.0048,-23.5,-395.9472,4582.9,6.9624,-44.3,-432.7968,3431.8,12.5808,-28.2,-48.696,163.9,9.0012,-31.5,-534.036,6863.4,37.8144,118.5,-79.47,704.5
12.516,-24,-391.836,4535.5,6.7044,-41.8,-425.0808,3355.5,12.6516,-30.3,-46.4676,149.9,9.06,-29.2,-540.8808,6848.6,38.7216,127.7,-72.7596,631.6
12.6432,-27.4,-387.6768,4495,7.1556,-47.9,-418.212,3291.2,12.1992,-30.3,-44.916,151,9.0936,-26.6,-546.4596,6827,39.3288,119.2,-66.4836,567.1
12.408,-18.6,-384.4632,4441.4,6.6744,-44.5,-410.9952,3232.6,12.5124,-35.5,-43.926,155.2,9.1524,-33.4,-550.4052,6809.8,39.984,130.9,-60.9816,514.4
12.6708,-17.1,-381.6792,4407.5,6.7608,-39.8,-403.4016,3166.2,12.7632,-32.6,-42.36,137.2,9.1392,-23.7,-551.4276,6783.2,40.7064,130.9,-55.008,459.5
12.822,-24.3,-379.9896,4365.2,7.3008,-42.8,-397.3668,3103.2,12.7908,-30,-41.052,127.2,8.9532,-29.4,-550.0464,6764.3,41.6328,134.7,-48.7728,408.2
12.8292,-22.9,-378.8124,4327.2,7.1256,-47.8,-390.7764,3049.6,12.1596,-32.4,-39.7428,123.7,9.216,-29.8,-547.0248,6744.1,41.8032,135.4,-43.3704,353.8
12.4332,-19.9,-377.2368,4273.1,7.1832,-49.7,-384.6276,2982,12.3768,-31.1,-38.412,125.8,9.0048,-31,-542.2344,6712.1,43.0512,134.3,-38.2692,300
13.044,-22.8,-375.4176,4229.2,6.918,-49.3,-378.3216,2943.4,12.5028,-33.5,-37.4256,111.2,8.8608,-27,-536.5428,6684.7,43.5348,143.8,-33.3444,259.5
12.9612,-28.5,-372.6084,4175.3,7.0272,-49.4,-372.3732,2887.8,12.5184,-36.2,-35.9532,106.6,9.0324,-27.5,-531.5856,6665.8,44.3964,144.2,-28.5024,219.4
13.2888,-25.2,-368.9352,4114.2,6.3768,-43.2,-365.9808,2838.2,12.504,-39.8,-34.7616,107.4,9.2568,-24.6,-526.92,6639.7,45.138,152.1,-23.5956,187
13.4652,-20.3,-364.6968,4054.7,6.3036,-52.7,-360.4944,2798.2,12.4992,-35.7,-33.8784,98.1,8.8896,-31.7,-525.2964,6629.4,45.3516,141.4,-20.7708,158.9
13.332,-20.2,-360.3564,3994,6.3564,-52.1,-355.1592,2748.6,12.9396,-37.1,-32.5512,97.1,8.694,-31.9,-525.5436,6613.4,46.3308,155,-18.108,139.4
13.5384,-21.7,-355.6404,3924.5,6.8388,-48.5,-350.4228,2713.7,12.7044,-39.8,-31.4196,80.8,9.084,-32.5,-529.2336,6589.8,46.8168,160.6,-16.812,131.2
13.5888,-33.7,-350.2416,3861.7,6.876,-52.5,-346.7088,2661.1,12.4596,-33.9,-30.2868,74,8.9244,-23,-534.4812,6569.8,47.3232,159.3,-15.3804,119.2
