,Dc,Dt,NSpc,NSt,Sc,St,Wc,Wt
5320,,,0.14400000000000002,4.229452207,,,,
5321,,,0.1416,4.2405604960000005,,,,
5322,,,0.1394,4.253999483,,,,
5323,,,0.1441,4.283156872,,,,
5324,,,0.1505,4.297079352,,,,
5325,,,0.1372,4.3097109410000005,,,,
5326,,,0.13699999999999998,4.320654982,,,,
5327,,,0.1458,4.343228058999999,,,,
5328,,,0.1241,4.344587333,,,,
5329,,,0.1314,4.32930231,,,,
5330,,,0.1581,4.3300424589999995,,,,
5331,,,0.1575,4.31658684,,,,
5332,,,0.1488,4.309395525,,,,
5333,,,0.1532,4.273728447,,,,
5334,,,0.15,4.256019888,,,,
5335,,,0.1546,4.251248288,,,,
5336,,,0.1537,4.239838571,,,,
5337,,,0.1545,4.25976502,,,,
5338,,,0.1703,4.265215479,,,,
5339,,,0.1585,4.283120522,,,,
5340,,,0.1501,4.282491975,,,,
5341,,,0.1617,4.2923532269999995,,,,
5342,,,0.1562,4.304036411,,,,
5343,,,0.1752,4.303675929,,,,
5344,,,0.1586,4.314996314,,,,
5345,,,0.166,4.316308182,,,,
5346,,,0.1643,4.322226122,,,,
5347,,,0.1581,4.335974804,,,,
5348,,,0.1598,4.341018895,,,,
5349,,,0.1418,4.362789939,,,,
5350,,,0.1475,4.370019269,,,,
5351,,,0.1622,4.382471672,,,,
5352,,,0.1579,4.389703656,,,,
5353,,,0.1544,4.4206847,,,,
5354,,,0.1543,4.447498634,,,,
5355,,,0.151,4.458674493999999,,,,
5356,,,0.1511,4.490983619,,,,
5357,,,0.1724,4.509913173,,,,
5358,,,0.1506,4.525250497,,,,
5359,,,0.1547,4.537668292,,,,
5360,,,0.1712,4.562132849,,,,
5361,,,0.1466,4.5769823910000005,,,,
5362,,,0.1639,4.57325907,,,,
5363,,,0.1608,4.589073232,,,,
5364,,,0.1494,4.608794489,,,,
5365,,,0.1663,4.611789111,,,,
5366,,,0.1744,4.632275388,,,,
5367,,,0.1588,4.642817458,,,,
5368,,,0.1673,4.6604402689999995,,,,
5369,,,0.1797,4.666931917,,,,
5370,,,0.1639,4.690496256,,,,
5371,,,0.1561,4.720743683999999,,,,
5372,,,0.1517,4.743090594,,,,
5373,,,0.1519,4.772394844,,,,
5374,,,0.1492,4.78871009,,,,
5375,,,0.1428,4.812630841,,,,
5376,,,0.1589,4.831381757,,,,
5377,,,0.1547,4.86695977,,,,
5378,,,0.1704,4.880284523,,,,
5379,,,0.1515,4.900582895,,,,
5380,,,0.152,4.903342741,,,,
5381,,,0.1635,4.928904385,,,,
5382,,,0.168,4.942291333,,,,
5383,,,0.1853,4.950593764,,,,
5384,,,0.1841,4.9690025,,,,
5385,,,0.1806,4.976920361,,,,
5386,,,0.1727,4.982679269,,,,
5387,,,0.1766,4.988974355,,,,
5388,,,0.1919,5.003410744,,,,
5389,,,0.1894,5.002592118,,,,
5390,,,0.1757,5.021713077,,,,
5391,,,0.177,5.028407022,,,,
5392,,,0.1902,5.035699516,,,,
5393,,,0.1794,5.043269765,,,,
5394,,,0.1783,5.068904715,,,,
5395,,,0.1827,5.0608560030000005,,,,
5396,,,0.19,5.064431834,,,,
5397,,,0.1715,5.07047553,,,,
5398,,,0.1768,5.045141855,,,,
5399,,,0.1774,5.041037661,,,,
5400,,,0.1948,5.06819236,,,,
5401,,,0.1915,5.065244569,,,,
5402,,,0.1765,5.06263689,,,,
5403,,,0.1802,5.066363182,,,,
5404,,,0.18899999999999997,5.077316509,,,,
