Dcu1,Dtu1,Dcd1,Dtd1,Dcu2,Dtu2,Dcd2,Dtd2,Dcu3,Dtu3,Dcd3,Dtd3,Dcu4,Dtu4,Dcd4,Dtd4,Dcu5,Dtu5,Dcd5,Dtd5
0.558,130.3205652,98.0652,-1017.471843,-0.3991,123.5600572,95.7708,-979.9412796,-0.3827,118.302278,102.6702,-995.74836,-0.7406,102.5810172,70.4067,-804.4920684,-0.7696,101.3331516,86.1385,-1061.789776
0.5553,122.487168,97.8603,-1013.843853,-0.391,117.6743488,95.5187,-975.596616,-0.388,118.5089372,102.4429,-992.9880012,-0.7374,102.4876168,70.0783,-800.1918596,-0.7575,97.425826,85.9765,-1055.22501
0.5484,125.8958088,97.6463,-1013.401365,-0.3957,119.1877896,95.2666,-974.0211692,-0.3805,119.4119588,102.2071,-990.8648004,-0.7349,102.3975536,69.7339,-795.6824372,-0.7613,98.5252068,85.8203,-1051.502095
0.5573,122.9054716,97.4083,-1010.136718,-0.3987,116.41161,95.0394,-974.3050372,-0.3654,120.1231944,101.9649,-989.4366436,-0.7471,102.4608368,69.4035,-791.1992592,-0.7666,96.7562848,85.6624,-1048.760318
0.5538,120.6016088,97.1986,-1008.320334,-0.3941,118.8505264,94.7853,-972.1730608,-0.3545,120.4648248,101.7321,-987.66698,-0.7421,102.2189516,69.0601,-785.9665296,-0.7657,97.2007504,85.4885,-1044.682877
0.5483,121.4186872,96.9719,-1004.837327,-0.3942,122.6392372,94.5419,-970.9245772,-0.3435,121.2665768,101.4975,-985.9766264,-0.7454,101.716394,68.7256,-783.6119496,-0.7694,96.7149612,85.3247,-1044.805777
0.5368,140.1579716,96.7339,-1001.6578,-0.3805,126.5543908,94.293,-968.2771888,-0.3552,123.3409144,101.2504,-981.9854588,-0.7466,101.9467432,68.3833,-777.947444,-0.7692,97.0660676,85.1699,-1041.48724
0.5386,141.0738064,96.4925,-999.8796076,-0.3914,127.9819708,94.0437,-965.4381792,-0.3571,121.0920124,101.0129,-980.2784604,-0.7422,101.2419348,68.0472,-774.5672312,-0.7677,96.814006,84.9838,-1038.987266
0.5493,143.017334,96.2549,-996.5561684,-0.3914,130.0997744,93.7969,-966.3938956,-0.388,112.307472,100.7683,-978.7682744,-0.7398,101.2116116,65.1728,-770.7803744,-0.7699,96.79835,84.8172,-1037.166514
0.537,143.567972,96.0246,-994.9645712,-0.3758,131.2608728,93.5432,-963.5602832,-0.4007,111.1176572,100.5354,-976.5706252,-0.7305,100.3335984,64.8251,-765.399984,-0.7694,96.922774,83.4143,-1069.116249
0.5394,143.8606568,95.7838,-990.5053716,-0.379,131.1713864,93.2769,-963.0744116,-0.4025,108.2386424,100.2973,-974.1724556,-0.729,100.2035712,64.4871,-759.9982108,-0.7757,96.3404944,82.7362,-1049.947825
0.5477,143.902928,95.5556,-988.2721256,-0.3678,131.839774,93.0294,-960.0704372,-0.4018,106.1139996,100.0384,-972.167128,-0.733,100.7217848,64.1454,-754.29473,-0.773,96.050982,82.5241,-1043.344372
