Time,,,ueWrenA1,ueWrenA2,ueWrenB1,ueWrenB2,Pressure,EX1629_TIME_252,
ID,,,EX1629_25200,EX1629_25201,EX1629_25202,EX1629_25203,EX1629_25247,EX1629_TIME_252,
Unit,,,uStrain,uStrain,uStrain,uStrain,psi,s,
RangeMax,,,1706,1706,1706,1706,9500,1100,
RangeMin,,,-1706,-1706,-1706,-1706,-9500,-210,
ThreeFactorial,,,0,0,0,0,0,0,
TwoFactorial,,,0,0,0,0,0,0,
PrefixGain,,,1,1,1,1,1,1,
PrefixOffset,,,0,0,0,0,0,0,
Slope,,,1,1,1,1,1,1,
Offset,,,0,0,0,0,0,0,
ZeroValue,,,-0.186857,-1.42384,1.06115,-1.25018,-119.155,107.636,
Datetime,Second,Time,,,,,,,
2/6/2020 15:13,13.421,16.576,-10.5325,-30.5416,38.1083,16.4573,-0.9371,138.048,2073
2/6/2020 15:13,13.429,16.584,-11.3621,-31.3422,37.6182,15.6043,-0.9318,138.056,2074
2/6/2020 15:13,13.437,16.592,-10.8258,-30.9628,38.6557,16.9609,-3.021,138.064,2075
2/6/2020 15:13,13.445,16.6,-11.5011,-31.6283,38.0799,15.7574,-1.38,138.072,2076
2/6/2020 15:13,13.453,16.608,-10.4775,-30.7345,38.5669,16.457,-2.3993,138.08,2077
2/6/2020 15:13,13.461,16.616,-11.3342,-31.6825,38.1165,15.721,-0.7518,138.088,2078
2/6/2020 15:13,13.469,16.624,-10.5824,-30.8112,38.7958,16.5608,-3.0262,138.096,2079
2/6/2020 15:13,13.477,16.632,-11.4076,-31.8894,38.3093,15.909,-0.6021,138.104,2080
2/6/2020 15:13,13.485,16.64,-10.6899,-30.9805,38.6916,16.6452,-3.5668,138.112,2081
2/6/2020 15:13,13.493,16.648,-11.1703,-31.2839,37.7032,15.6011,2.8578,138.12,2082
2/6/2020 15:13,13.501,16.656,-10.3021,-30.3447,37.7716,16.0678,-8.0026,138.128,2083
2/6/2020 15:13,13.509,16.664,-10.9752,-31.0254,37.7032,15.5403,5.4431,138.136,2084
2/6/2020 15:13,13.517,16.672,-10.6402,-30.7072,38.286,16.2188,22.2541,138.144,2085
2/6/2020 15:13,13.525,16.68,-11.6945,-31.6469,38.7241,16.4437,16.2352,138.152,2086
2/6/2020 15:13,13.533,16.688,-11.6101,-31.8455,39.516,17.2044,41.6837,138.16,2087
2/6/2020 15:13,13.541,16.696,-11.9364,-31.9565,39.1383,16.9673,68.9408,138.168,2088
2/6/2020 15:13,13.549,16.704,-12.2068,-32.4066,39.6911,17.4912,122.0668,138.176,2089
2/6/2020 15:13,13.557,16.712,-12.7988,-32.9985,40.6819,18.2655,100.4977,138.184,2090
2/6/2020 15:13,13.565,16.72,-10.9944,-31.8392,38.879,15.9417,150.7484,138.192,2091
2/6/2020 15:13,13.573,16.728,-10.4129,-30.2595,37.3412,15.9594,139.1718,138.2,2092
2/6/2020 15:13,13.581,16.736,-13.3957,-33.8838,41.1538,18.1885,189.6998,138.208,2093
2/6/2020 15:13,13.589,16.744,-11.0807,-30.4631,38.3908,16.8509,280.142,138.216,2094
2/6/2020 15:13,13.597,16.752,-13.3186,-33.8664,40.9085,18.0438,279.5426,138.224,2095
2/6/2020 15:13,13.605,16.76,-6.9974,-28.5378,35.243,13.1678,309.5262,138.232,2096
2/6/2020 15:13,13.613,16.768,-4.2326,-23.3704,26.9956,7.7639,289.2062,138.24,2097
2/6/2020 15:13,13.621,16.776,-11.2196,-32.2996,40.157,17.6336,324.4293,138.248,2098
2/6/2020 15:13,13.629,16.784,-8.3305,-27.9353,33.5893,12.1926,277.9952,138.256,2099
2/6/2020 15:13,13.637,16.792,-6.5014,-26.1258,32.0816,12.0633,321.7393,138.264,2100
2/6/2020 15:13,13.645,16.8,-0.7166,-18.4056,20.7936,3.2312,288.6393,138.272,2101
2/6/2020 15:13,13.653,16.808,-1.3609,-20.3188,24.6342,6.1501,321.3378,138.28,2102
2/6/2020 15:13,13.661,16.816,-1.7045,-21.144,24.4018,4.6853,306.7139,138.288,2103
2/6/2020 15:13,13.669,16.824,-1.6034,-21.5997,26.2994,6.7074,315.387,138.296,2104
2/6/2020 15:13,13.677,16.832,-0.8286,-20.6541,23.8915,4.0582,320.496,138.304,2105
2/6/2020 15:13,13.685,16.84,0.1399,-20.7564,25.3492,4.8444,307.129,138.312,2106
2/6/2020 15:13,13.693,16.848,0.3554,-20.5666,24.0699,3.3381,342.2565,138.32,2107
2/6/2020 15:13,13.701,16.856,0.7747,-20.6138,25.4216,4.2307,330.9013,138.328,2108
2/6/2020 15:13,13.709,16.864,-0.5536,-21.5599,25.9796,4.5919,384.7493,138.336,2109
2/6/2020 15:13,13.717,16.872,-0.2665,-21.8766,26.689,5.1924,359.0731,138.344,2110
2/6/2020 15:13,13.725,16.88,1.3022,-20.2255,24.2153,2.8943,429.0647,138.352,2111
2/6/2020 15:13,13.733,16.888,-0.0227,-21.3851,25.9956,4.6312,415.7533,138.36,2112
2/6/2020 15:13,13.741,16.896,1.8409,-19.1124,23.3805,2.3922,496.0822,138.368,2113
2/6/2020 15:13,13.749,16.904,-0.0644,-21.5025,26.0796,4.5918,498.6272,138.376,2114
2/6/2020 15:13,13.757,16.912,1.6698,-19.8989,24.3973,2.9509,568.9871,138.384,2115
2/6/2020 15:13,13.765,16.92,-0.7796,-22.2054,26.6271,5.0435,601.8901,138.392,2116
2/6/2020 15:13,13.773,16.928,-0.3436,-21.2106,26.0191,5.3262,636.8,138.4,2117
2/6/2020 15:13,13.781,16.936,-0.407,-20.9942,25.2438,4.0926,673.7038,138.408,2118
2/6/2020 15:13,13.789,16.944,2.3339,-21.4803,27.4652,3.0516,677.249,138.416,2119
2/6/2020 15:13,13.797,16.952,-4.1225,-24.2429,29.5,7.5967,716.2021,138.424,2120
2/6/2020 15:13,13.805,16.96,2.8648,-13.3228,18.7067,0.3598,692.8169,138.432,2121
2/6/2020 15:13,13.813,16.968,10.5276,-2.2483,3.1411,-10.2983,745.688,138.44,2122
2/6/2020 15:13,13.821,16.976,-3.683,-16.6781,22.1508,6.8992,704.6076,138.448,2123
2/6/2020 15:13,13.829,16.984,-3.8231,-17.625,22.2027,5.565,753.9303,138.456,2124
2/6/2020 15:13,13.837,16.992,-0.5207,-16.322,22.2426,4.3745,717.482,138.464,2125
2/6/2020 15:13,13.845,17,-2.1331,-18.3286,22.9305,4.3222,752.0784,138.472,2126
2/6/2020 15:13,13.853,17.008,-2.527,-18.897,25.1888,6.9375,730.4684,138.48,2127
2/6/2020 15:13,13.861,17.016,-5.7117,-24.4645,30.8305,9.0445,752.3474,138.488,2128
2/6/2020 15:13,13.869,17.024,-4.5585,-24.3624,31.4411,10.0393,743.2638,138.496,2129
2/6/2020 15:13,13.877,17.032,-1.7854,-22.3472,27.823,5.2102,783.5696,138.504,2130
2/6/2020 15:13,13.885,17.04,-0.6423,-18.9372,24.2854,5.2893,1089.6569,138.512,2131
2/6/2020 15:13,13.893,17.048,-4.7245,-22.5393,27.9272,7.9887,1252.6461,138.52,2132
2/6/2020 15:13,13.901,17.056,-4.0046,-21.8507,28.0584,8.5127,1416.832,138.528,2133
2/6/2020 15:13,13.909,17.064,-6.2211,-25.0855,31.6574,10.0995,1500.5223,138.536,2134
2/6/2020 15:13,13.917,17.072,-3.9835,-22.0932,28.8839,8.4547,1658.2399,138.544,2135
2/6/2020 15:13,13.925,17.08,-4.7149,-23.5877,30.4879,8.7362,1682.1021,138.552,2136
2/6/2020 15:13,13.933,17.088,-5.4218,-22.7759,30.0098,9.521,1820.7791,138.56,2137
2/6/2020 15:13,13.941,17.096,-5.1729,-22.8999,29.7465,9.1064,1815.3327,138.568,2138
2/6/2020 15:13,13.949,17.104,-5.7084,-22.8131,29.5554,9.5967,1927.029,138.576,2139
2/6/2020 15:13,13.957,17.112,-4.372,-21.4655,28.1306,8.3362,1922.3883,138.584,2140
2/6/2020 15:13,13.965,17.12,-5.8138,-23.4964,30.1119,9.4164,1992.3701,138.592,2141
2/6/2020 15:13,13.973,17.128,-3.5299,-21.2181,27.6777,7.865,2010.4118,138.6,2142
2/6/2020 15:13,13.981,17.136,-5.8881,-24.3232,31.0611,9.5115,2033.4917,138.608,2143
2/6/2020 15:13,13.989,17.144,-3.5374,-21.1172,27.5925,8.1928,2078.5726,138.616,2144
2/6/2020 15:13,13.997,17.152,-5.3438,-23.9323,30.1637,8.7713,2054.3044,138.624,2145
2/6/2020 15:13,14.005,17.16,-2.9136,-20.413,26.3827,7.5422,2120.422,138.632,2146
2/6/2020 15:13,14.013,17.168,-3.8909,-22.9661,28.2557,7.2165,2071.8155,138.64,2147
2/6/2020 15:13,14.021,17.176,-2.1197,-20.1861,26.0048,6.9278,2141.6508,138.648,2148
2/6/2020 15:13,14.029,17.184,-3.4436,-22.3766,27.3982,6.6631,2090.3035,138.656,2149
2/6/2020 15:13,14.037,17.192,-1.9317,-20.9606,27.222,7.1499,2145.3739,138.664,2150
2/6/2020 15:13,14.045,17.2,-3.0315,-21.5633,26.4358,6.0561,2109.5366,138.672,2151
2/6/2020 15:13,14.053,17.208,-2.4038,-21.5745,28.2009,7.5294,2132.845,138.68,2152
2/6/2020 15:13,14.061,17.216,-2.8819,-20.7212,25.2025,5.9105,2124.5934,138.688,2153
2/6/2020 15:13,14.069,17.224,-3.0581,-21.8905,28.6392,8.1171,2117.2417,138.696,2154
2/6/2020 15:13,14.077,17.232,-3.2473,-20.2317,25.0429,6.1681,2141.2992,138.704,2155
2/6/2020 15:13,14.085,17.24,-3.9741,-22.4917,29.4428,8.6953,2095.5903,138.712,2156
2/6/2020 15:13,14.093,17.248,-3.7924,-20.4579,25.3146,6.7264,2151.0745,138.72,2157
2/6/2020 15:13,14.101,17.256,-3.7704,-22.6157,29.4982,8.5312,2085.27,138.728,2158
2/6/2020 15:13,14.109,17.264,-3.8838,-20.9167,26.2904,7.0906,2151.4016,138.736,2159
2/6/2020 15:13,14.117,17.272,-3.6321,-22.3856,28.9418,8.2176,2081.4539,138.744,2160
2/6/2020 15:13,14.125,17.28,-4.0827,-22.1484,27.8108,7.808,2139.337,138.752,2161
2/6/2020 15:13,14.133,17.288,-3.5552,-22.1359,28.2681,8.014,2093.2189,138.76,2162
2/6/2020 15:13,14.141,17.296,-4.5897,-23.8691,30.2529,8.949,2126.1414,138.768,2163
2/6/2020 15:13,14.149,17.304,-3.4534,-21.7859,27.4737,7.5881,2111.3943,138.776,2164
2/6/2020 15:13,14.157,17.312,-4.2545,-24.2304,31.093,8.9621,2108.0168,138.784,2165
2/6/2020 15:13,14.165,17.32,-3.304,-21.2001,26.6037,6.9237,2133.1455,138.792,2166
2/6/2020 15:13,14.173,17.328,-3.8076,-23.6702,30.5652,8.6465,2091.7736,138.8,2167
2/6/2020 15:13,14.181,17.336,-3.3716,-20.9493,26.2238,6.7423,2145.6803,138.808,2168
2/6/2020 15:13,14.189,17.344,-3.809,-23.5012,30.5208,8.9069,2085.5517,138.816,2169
2/6/2020 15:13,14.197,17.352,-3.9532,-21.6757,26.9132,7.2476,2151.4699,138.824,2170
2/6/2020 15:13,14.205,17.36,-3.6388,-23.0674,29.8385,8.8074,2085.9618,138.832,2171
2/6/2020 15:13,14.213,17.368,-4.555,-22.9451,28.4089,7.8019,2140.3244,138.84,2172
2/6/2020 15:13,14.221,17.376,-2.8414,-21.5821,27.9537,7.9753,2095.4535,138.848,2173
2/6/2020 15:13,14.229,17.384,-4.3147,-23.3662,28.7101,7.7848,2122.7304,138.856,2174
2/6/2020 15:13,14.237,17.392,-1.9954,-20.2282,26.3799,6.9858,2106.98,138.864,2175
2/6/2020 15:13,14.245,17.4,-4.1524,-23.7076,29.1907,7.5449,2103.4619,138.872,2176
2/6/2020 15:13,14.253,17.408,-1.8365,-19.8437,25.7336,6.7232,2122.9774,138.88,2177
2/6/2020 15:13,14.261,17.416,-4.1711,-23.939,29.5178,7.6225,2090.1423,138.888,2178
2/6/2020 15:13,14.269,17.424,-2.0838,-20.1321,26.0732,7.0694,2132.7286,138.896,2179
2/6/2020 15:13,14.277,17.432,-3.843,-23.5383,29.2732,7.3757,2076.6308,138.904,2180
2/6/2020 15:13,14.285,17.44,-2.639,-20.8217,27.1312,7.5088,2136.5127,138.912,2181
2/6/2020 15:13,14.293,17.448,-3.7534,-23.1579,28.8735,7.3088,2078.7198,138.92,2182
2/6/2020 15:13,14.301,17.456,-3.1639,-21.8544,28.4346,8.0817,2133.0062,138.928,2183
2/6/2020 15:13,14.309,17.464,-3.2528,-22.2212,27.8259,6.9156,2094.8327,138.936,2184
2/6/2020 15:13,14.317,17.472,-3.3843,-22.83,29.7351,8.1644,2118.4933,138.944,2185
2/6/2020 15:13,14.325,17.48,-2.8467,-21.4101,26.8738,6.691,2111.8958,138.952,2186
2/6/2020 15:13,14.333,17.488,-3.8881,-23.9438,30.8829,8.6515,2100.6582,138.96,2187
2/6/2020 15:13,14.341,17.496,-2.9602,-21.219,26.8043,6.9733,2131.1167,138.968,2188
2/6/2020 15:13,14.349,17.504,-4.3246,-24.3891,31.185,8.7189,2089.0463,138.976,2189
2/6/2020 15:13,14.357,17.512,-2.9736,-21.1068,26.9137,7.1117,2140.5147,138.984,2190
2/6/2020 15:13,14.365,17.52,-3.9555,-23.6943,29.9465,8.1669,2079.3502,138.992,2191
2/6/2020 15:13,14.373,17.528,-2.7006,-21.3411,27.2727,7.2963,2143.9138,139,2192
2/6/2020 15:13,14.381,17.536,-3.1669,-22.4738,28.2551,7.1458,2085.1567,139.008,2193
2/6/2020 15:13,14.389,17.544,-2.8479,-21.8037,28.163,7.7091,2136.91,139.016,2194
2/6/2020 15:13,14.397,17.552,-2.8272,-21.5297,26.5747,6.2664,2097.0879,139.024,2195
2/6/2020 15:13,14.405,17.56,-2.8184,-22.5401,29.1212,8.086,2119.9549,139.032,2196
2/6/2020 15:13,14.413,17.568,-2.5918,-21.0088,25.8037,5.7375,2111.017,139.04,2197
2/6/2020 15:13,14.421,17.576,-2.774,-22.8272,29.8369,8.2875,2100.7866,139.048,2198
2/6/2020 15:13,14.429,17.584,-2.5617,-20.7541,25.3822,5.7607,2130.1434,139.056,2199
2/6/2020 15:13,14.437,17.592,-2.5184,-22.5464,29.4957,7.9993,2087.0825,139.064,2200
2/6/2020 15:13,14.445,17.6,-2.6466,-20.4455,25.0111,5.6923,2142.089,139.072,2201
2/6/2020 15:13,14.453,17.608,-2.0873,-21.83,28.6393,7.3945,2078.1494,139.08,2202
2/6/2020 15:13,14.461,17.616,-2.6888,-20.649,25.3387,5.6746,2148.1412,139.088,2203
2/6/2020 15:13,14.469,17.624,-1.8921,-21.254,27.6804,7.1083,2082.9278,139.096,2204
2/6/2020 15:13,14.477,17.632,-2.7897,-21.2528,26.2106,5.9761,2141.4351,139.104,2205
